DEPTO,CÓDIGO,MATERIA,DOCENTES,FECHA,HORA INICIO,HORA FIN,SEDE
CONSTRUCCIONES,9419,MATERIALES NO TRADICIONALES EN LA CONSTRUCCIÓN,"PIQUE, TERESA MARIA",2/15/2023,17:00,20:00,
MECANICA,8713,MEDIOS DE REPRESENTACIÓN,"MERLO, RUBEN OSVALDO",2/15/2023,17:00,22:00,Paseo Colon
MECANICA,6702,MEDIOS DE REPRESENTACION B,"MERLO, RUBEN OSVALDO - FERNANDEZ, PABLO OSVALDO",2/15/2023,17:00,22:00,Paseo Colon
MECANICA,6703,MEDIOS DE REPRESENTACION C,"MERLO, RUBEN OSVALDO",2/15/2023,17:00,22:00,Paseo Colon
AGRIMENSURA,7041,OCEANOGRAFÍA FÍSICA,"OREIRO, FERNANDO ARIEL",2/15/2023,17:00,21:00,
COMPUTACION,7518,PROYECTOS INFORMATICOS,"FONTELA, MOISES CARLOS",2/15/2023,17:00,20:00,Paseo Colon
ELECTRONICA,8644,TÉCNICA DIGITAL AVANZADA,"MARTINEZ, MIGUEL ANTONIO",2/15/2023,17:00,20:00,Paseo Colon
MECANICA,8714,TERMODINÁMICA,"SOSA, ROBERTO",2/15/2023,17:00,21:00,Paseo Colon
MECANICA,6752,TERMODINAMICA B,"SOSA, ROBERTO",2/15/2023,17:00,21:00,Paseo Colon
COMPUTACION,7515,BASE DE DATOS,"BEIRO, MARIANO GASTON",2/15/2023,18:00,22:00,Paseo Colon
COMPUTACION,9505,BASE DE DATOS,"BEIRO, MARIANO GASTON",2/15/2023,18:00,22:00,Paseo Colon
ING QUIMICA,7661,BIOINGENIERÍA,"MARIÑO, FERNANDO JAVIER",2/15/2023,18:00,22:00,Ing Quimica
ING QUIMICA,7613,BIOINGENIERIA INDUSTRIAL,"MARIÑO, FERNANDO JAVIER",2/15/2023,18:00,22:00,Ing Quimica
ING QUIMICA,7641,BIOTECNOLOGÍA,"MARIÑO, FERNANDO JAVIER",2/15/2023,18:00,22:00,Ing Quimica
MECANICA,6723,CONVERSION DE ENERGIA,"TURCHETTI, EDGARDO MARCELO",2/15/2023,18:00,21:00,Paseo Colon
MECANICA,8704,CONVERSIÓN DE ENERGÍA,"TURCHETTI, EDGARDO MARCELO",2/15/2023,18:00,21:00,Paseo Colon
ELECTRONICA,8610,DISEÑO DE CIRCUITOS ELECTRÓNICOS,"MARCHI, EDGARDO JOSE",2/15/2023,18:00,21:00,Paseo Colon
GESTION,9109,ECONOMÍA,"CONDE, MARIA EUGENIA",2/15/2023,18:00,NULL,
MECANICA,8707,FUENTES Y MÁQUINAS ENERGÉTICAS,"TURCHETTI, EDGARDO MARCELO",2/15/2023,18:00,21:00,Paseo Colon
CONSTRUCCIONES,9401,HORMIGÓN I,"FOLINO, PAULA CECILIA - MALVAR PERRIN, ANDRES",2/15/2023,18:00,22:00,
TRANSPORTE,8808,INGENIERÍA TERRITORIAL,"MOLERES, CRISTIAN JOAQUIN - GARCÍA AGUIRREZABALA, JULIÁN FRANCISCO - PARODI, EDUARDO LORENZO",2/15/2023,18:00,21:00,
ENERGIA,7907,PERFORACIÓN DE POZOS II,"LOGIODICE, JESUS",2/15/2023,18:00,20:00,Ing Quimica
TEC INDUSTRIAL,9219,PROCESOS DE MANUFACTURA II,"MAZZEO, SEBASTIAN",2/15/2023,18:00,22:00,
ELECTRONICA,8615,ROBÓTICA,"GONZALEZ, PABLO SEBASTIAN",2/15/2023,18:00,21:00,Paseo Colon
MECANICA,6743,ROBOTICA INDUSTRIAL,"GONZALEZ, PABLO SEBASTIAN",2/15/2023,18:00,21:00,Paseo Colon
AGRIMENSURA,7032,SISTEMAS DE INFORMACIÓN GEOGRÁFICA I,"RODRIGUEZ, MARIA MACARENA",2/15/2023,18:00,22:00,
MECANICA,6717,TALLER,"SCHENKEL, CHRISTIAN DAVID",2/15/2023,18:00,22:00,Paseo Colon
MECANICA,8715,TALLER A,"SCHENKEL, CHRISTIAN DAVID",2/15/2023,18:00,22:00,Paseo Colon
MECANICA,6756,TECNICAS ENERGETICAS,"ROMANO, SILVIA DANIELA",2/15/2023,18:00,22:00,Paseo Colon
ENERGIA,7903,Terminacion I,Laluf,2/15/2023,18:00,22:00,Ing Quimica
MECANICA,6704,TERMODINAMICA I A,"MOSCARDI, MARIO ALBERTO - TURCHETTI, EDGARDO MARCELO",2/15/2023,18:00,22:00,Paseo Colon
MECANICA,8702,TERMODINÁMICA I A,"MOSCARDI, MARIO ALBERTO - TURCHETTI, EDGARDO MARCELO",2/15/2023,18:00,22:00,Paseo Colon
ELECTRONICA,8635,VIDEO DIGITAL,"VENTURINO, GABRIEL FRANCISCO",2/15/2023,18:00,21:00,Paseo Colon
ING QUIMICA,7627,CONTROL ESTADISTICO DE PROCESOS,"BENYACAR, ROBERTO ISAAC",2/15/2023,18:15,21:00,Ing Quimica
GESTION,7150,INGENIERIA ECONOMICA I,"ESCARDO, ADRIAN JAVIER",2/15/2023,18:30,NULL,
ENERGIA,8533,ABASTECIMIENTO AUXILIAR DE LA ENERGÍA ELÉCTRICA,NULL,2/15/2023,19:00,22:00,Paseo Colon
ELECTRONICA,8623,ACCIONAMIENTOS VARIABLES,"TACCA, HERNAN EMILIO",2/15/2023,19:00,22:00,Paseo Colon
COMPUTACION,7512,ANALISIS NUMERICO I,"GRIGGIO, DANIEL ADALBERTO",2/15/2023,19:00,22:00,Paseo Colon
COMPUTACION,9504,ANÁLISIS NUMÉRICO I,"GRIGGIO, DANIEL ADALBERTO",2/15/2023,19:00,22:00,Paseo Colon
GESTION,9120,COMERCIALIZACIÓN,"SWINYARD, CARLOS MARCELO",2/15/2023,19:00,NULL,
GESTION,7133,COMERCIALIZACIÓN DE PRODUCTOS INDUSTRIALES,"SWINYARD, CARLOS MARCELO",2/15/2023,19:00,NULL,
ENERGIA,8510,CONSTRUCCIONES ELECTROMECÁNICAS,"GUN, MARCELO CLAUDIO",2/15/2023,19:00,22:00,Paseo Colon
ENERGIA,8509,DIAGNÓSTICOS ELÉCTRICOS Y ENSAYOS,"GUN, MARCELO CLAUDIO",2/15/2023,19:00,22:00,Paseo Colon
CONSTRUCCIONES,9417,DISEÑO ESTRUCTURAL,"EBERLE, JUAN ANGEL - VAZQUEZ, MARIO LUIS JUSTO",2/15/2023,19:00,22:00,
ELECTRONICA,8624,ELECTRÓNICA DE POTENCIA,"TACCA, HERNAN EMILIO",2/15/2023,19:00,22:00,Paseo Colon
ESTABILIDAD,8406,ESTABILIDAD III,"SATOSTEGUI, GUILLERMO JOAQUIN",2/15/2023,19:00,21:00,
GESTION,7112,ESTRUCTURA DE LAS ORGANIZACIONES,"ZAMMARANO, JOSE SALVADOR",2/15/2023,19:00,NULL,
MECANICA,6761,FUNDAM. MATEMÁT. DE LA VISIÓN ROBÓTICA,"BRUMOVSKY, ANDRES FRANCISCO",2/15/2023,19:00,22:00,Paseo Colon
ING QUIMICA,7630,INDUSTRIAS ALIMENTICIAS,"IPPOLITO, PABLO FEDERICO",2/15/2023,19:00,22:00,Ing Quimica
TEC INDUSTRIAL,7202,INDUSTRIAS I,"BARRIONUEVO, JUAN CARLOS AUDELINO - LEGUIZAMON, CARLOS DANIEL",2/15/2023,19:00,22:00,
TEC INDUSTRIAL,9202,INDUSTRIAS I,"BARRIONUEVO, JUAN CARLOS AUDELINO - LEGUIZAMON, CARLOS DANIEL",2/15/2023,19:00,22:00,
TEC INDUSTRIAL,7207,INDUSTRIAS III,"SABELLI, ALFREDO JORGE",2/15/2023,19:00,23:00,
GESTION,7145,INFORMATICA PARA LA GESTION DE EMPRESAS,"REY, PATRICIO ENRIQUE",2/15/2023,19:00,NULL,
GESTION,9114,INFORMÁTICA PARA LA GESTIÓN DE EMPRESAS,"REY, PATRICIO ENRIQUE",2/15/2023,19:00,NULL,
GESTION,9122,INGENIERÍA LEGAL PARA LA INGENIERÍA INDUSTRIAL,"PAPALEO, HECTOR DANIEL",2/15/2023,19:00,NULL,
TEC INDUSTRIAL,9207,INSTALACIONES INDUSTRIALES,"SABELLI, ALFREDO JORGE",2/15/2023,19:00,23:00,
GESTION,7122,LEG. Y EJER. PROF. DE LA ING. INDUSTRIAL,"PAPALEO, HECTOR DANIEL",2/15/2023,19:00,NULL,
GESTION,7121,LEGISLACIÓN Y EJERCICIO PROFESIONAL DE LA ING. CIVIL,"CASSIN, ALEJANDRA LUZ",2/15/2023,19:00,NULL,
GESTION,9116,LEGISLACIÓN Y EJERCICIO PROFESIONAL DE LA INGENIERÍA CIVIL,"CASSIN, ALEJANDRA LUZ",2/15/2023,19:00,NULL,
MECANICA,6737,MAQUINAS ENERGETICAS,"TURCHETTI, EDGARDO MARCELO",2/15/2023,19:00,21:00,Paseo Colon
CONSTRUCCIONES,9406,PRESAS,"FOLINO, PAULA CECILIA",2/15/2023,19:00,22:00,
COMPUTACION,7571,SEMINARIO DE ING. EN INFORMATICA I,"SERVETTO, ARTURO CARLOS",2/15/2023,19:00,22:00,Paseo Colon
MECANICA,6722,SISTEMAS DE CONTROL,"ANDRADA, JOSE ABEL",2/15/2023,19:00,22:00,Paseo Colon
CONSTRUCCIONES,9416,SISTEMAS ESTRUCTURALES,"VAZQUEZ, MARIO LUIS JUSTO - EBERLE, JUAN ANGEL",2/15/2023,19:00,22:00,
ENERGIA,8508,TECNOLOGÍA DE MATERIALES ELÉCTRICOS,"GUN, MARCELO CLAUDIO",2/15/2023,19:00,22:00,Paseo Colon
ELECTRONICA,8611,TEORÍA DE LA INFORMACIÓN Y CODIFICACIÓN,"BARRAZA, NESTOR RUBEN",2/15/2023,19:00,22:00,Paseo Colon
ENERGIA,8517,ECONOMÍA DE LA ENERGÍA ELÉCTRICA,"NICCHI, FERNANDO GABRIEL",2/15/2023,19:30,21:30,Paseo Colon
ENERGIA,8534,REGULACIÓN DE SERVICIOS PÚBLICOS,"NICCHI, FERNANDO GABRIEL",2/15/2023,19:30,21:30,Paseo Colon
QUIMICA,6313,QUÍMICA INORGÁNICA,"BOEYKENS, SUSANA PATRICIA - PIOL, MARIA NATALIA - FASOLI, HECTOR JOSE - DEBANDI, MARIA VALERIA",2/16/2023,9:00,12:00,Paseo Colon
FISICA,8207,FÍSICA III B,"PERRI, JORGE ANIBAL",2/16/2023,13:00,16:30,Paseo Colon
FISICA,6213,FISICA III C,"PERRI, JORGE ANIBAL",2/16/2023,13:00,16:30,Paseo Colon
ING QUIMICA,7616,ELECTROQUIMICA,"GIUNTA, PABLO DANIEL",2/16/2023,14:00,17:00,Ing Quimica
FISICA,6205,FISICA III,"OZOLS, ANDRES",2/16/2023,14:00,18:00,Paseo Colon
FISICA,8203,FÍSICA III,"OZOLS, ANDRES",2/16/2023,14:00,18:00,Paseo Colon
TRANSPORTE,8810,CAMINOS,"SANCHEZ, EMILSES SOLEDAD - CORTES, JORGE A. PABLO - RAÑO, SERGIO OSCAR",2/16/2023,14:30,17:30,
FISICA,6207,MECANICA II,"SORICHETTI, PATRICIO ANIBAL",2/16/2023,15:00,18:00,Paseo Colon
ESTABILIDAD,8411,SEGURIDAD ESTRUCTURAL,"LEHMANN, ALEJANDRO NICOLAS",2/16/2023,15:30,18:00,
ELECTRONICA,8638,ARQUITECTURAS PARALELAS,"PANTAZIS, RICARDO DEMETRIO",2/16/2023,16:00,19:00,Paseo Colon
ENERGIA,8506,MÁQUINAS ELÉCTRICAS I,"PODESTA, HORACIO EDUARDO",2/16/2023,16:00,18:00,Paseo Colon
ELECTRONICA,8656,PROCESAMIENTO DE IMÁGENES,"GALARZA, CECILIA GABRIELA",2/16/2023,16:00,19:00,Paseo Colon
ELECTRONICA,8651,PROCESAMIENTO DE SEÑALES I,"GALARZA, CECILIA GABRIELA",2/16/2023,16:00,19:00,Paseo Colon
ELECTRONICA,8652,PROCESAMIENTO DE SEÑALES II,"GALARZA, CECILIA GABRIELA",2/16/2023,16:00,19:00,Paseo Colon
QUIMICA,6301,QUIMICA,"UREÑA, MARIA ANDREA - BOEYKENS, SUSANA PATRICIA - PIOL, MARIA NATALIA",2/16/2023,16:00,19:00,Paseo Colon
QUIMICA,8301,QUÍMICA,"UREÑA, MARIA ANDREA - BOEYKENS, SUSANA PATRICIA - PIOL, MARIA NATALIA",2/16/2023,16:00,19:00,Paseo Colon
ELECTRONICA,8655,TEORÍA DE DETECCIÓN Y ESTIMACIÓN,"GALARZA, CECILIA GABRIELA",2/16/2023,16:00,19:00,Paseo Colon
COMPUTACION,7541,ALGORITMOS Y PROGRAMACION II,"BUCHWALD, MARTÍN EZEQUIEL",2/16/2023,17:00,20:00,Paseo Colon
COMPUTACION,9512,ALGORITMOS Y PROGRAMACIÓN II,"BUCHWALD, MARTÍN EZEQUIEL",2/16/2023,17:00,20:00,Paseo Colon
COMPUTACION,9515,ALGORITMOS Y PROGRAMACIÓN II,"BUCHWALD, MARTÍN EZEQUIEL",2/16/2023,17:00,20:00,Paseo Colon
HIDRAULICA,8903,CENTRALES HIDRÁULICAS,"Bacchiega, Daniel",2/16/2023,17:00,NULL,
GESTION,7117,DERECHO INFORMATICO,"NOREMBERG, ADRIAN",2/16/2023,17:00,NULL,
GESTION,7156,LEG. Y EJ. PROF. DE LA ING. DE ALIMENTOS,"NOREMBERG, ADRIAN",2/16/2023,17:00,NULL,
GESTION,7127,LEG. Y EJ. PROF. DE LA ING. ELECTRONICA,"NOREMBERG, ADRIAN",2/16/2023,17:00,NULL,
GESTION,7140,LEG. Y EJ. PROF. DE LA ING. EN INFORMAT.,"NOREMBERG, ADRIAN",2/16/2023,17:00,NULL,
GESTION,9111,LEGISLACIÓN Y EJERCICIO PROFESIONAL DE LA INGENIERÍA ELECTRÓNICA,"NOREMBERG, ADRIAN",2/16/2023,17:00,NULL,
GESTION,9140,LEGISLACIÓN Y EJERCICIO PROFESIONAL EN SISTEMAS E INFORMÁTICA,"NOREMBERG, ADRIAN",2/16/2023,17:00,NULL,
COMPUTACION,7530,TEORIA DE ALGORITMOS II,"BUCHWALD, MARTÍN EZEQUIEL",2/16/2023,17:00,20:00,Paseo Colon
COMPUTACION,7540,ALGORITMOS Y PROGRAMACION I,"CAMEJO, MANUEL",2/16/2023,18:00,21:00,Paseo Colon
COMPUTACION,9514,ALGORITMOS Y PROGRAMACIÓN I,"CAMEJO, MANUEL",2/16/2023,18:00,21:00,Paseo Colon
COMPUTACION,7541,ALGORITMOS Y PROGRAMACION II,"PANDOLFO, LUCAS HERNAN",2/16/2023,18:00,21:00,Paseo Colon
COMPUTACION,9512,ALGORITMOS Y PROGRAMACIÓN II,"PANDOLFO, LUCAS HERNAN",2/16/2023,18:00,21:00,Paseo Colon
COMPUTACION,9515,ALGORITMOS Y PROGRAMACIÓN II,"PANDOLFO, LUCAS HERNAN",2/16/2023,18:00,21:00,Paseo Colon
MECANICA,6730,COMBUSTION,"ROMANO, SILVIA DANIELA",2/16/2023,18:00,22:00,Paseo Colon
ENERGIA,8526,DINÁMICA DE SEP,"GILL ESTEVEZ, PABLO DANIEL",2/16/2023,18:00,20:00,Paseo Colon
ENERGIA,8502,ELECTROTECNIA,"SCHEINBAUM, JORGE",2/16/2023,18:00,21:00,Paseo Colon
FISICA,8201,FÍSICA I,"ACOSTA, EDUARDO",2/16/2023,18:00,21:00,Paseo Colon
FISICA,6201,FISICA I A,"ACOSTA, EDUARDO",2/16/2023,18:00,21:00,Paseo Colon
AGRIMENSURA,7012,GEODESIA I,"MONTES, ALEJANDRO GABRIEL",2/16/2023,18:00,22:00,
ENERGIA,7905,GEOLOGÍA DEL PETRÓLEO,"BARREDO, SILVIA PATRICIA",2/16/2023,18:00,20:00,Ing Quimica
ING QUIMICA,7642,INGENIERIA DE LAS INSTALACIONES II B,"GELSO, LAUTARO",2/16/2023,18:00,21:00,Ing Quimica
ING QUIMICA,7654,INSTALACIONES DE PLANTAS DE PROCESOS,"GELSO, LAUTARO",2/16/2023,18:00,21:00,Ing Quimica
ESTABILIDAD,8401,INTRODUCCIÓN A LA INGENIERÍA CIVIL,"PEREZ TABOADA, CAROLINA MARCELA",2/16/2023,18:00,21:00,
NAVAL,7311,MAQUINAS MARINAS I,"GONZALEZ, ERNESTO FABIAN",2/16/2023,18:00,21:00,Paseo Colon
MECANICA,xx.xx,OPTIMIZACION DE DISEÑOS MECANICOS,"FACAL, GUILLERMO RUBEN",2/16/2023,18:00,22:00,Paseo Colon
MECANICA,xx.xx,OPTIMIZACION DE DISEÑOS MECANICOS II,"FACAL, GUILLERMO RUBEN",2/16/2023,18:00,22:00,Paseo Colon
TEC INDUSTRIAL,9204,PROCESOS DE MANUFACTURA I,"ANGELILLO MACKINLAY, TOMAS SANTIAGO",2/16/2023,18:00,22:00,
MECANICA,6729,PROYECTO DE MAQUINAS,"FACAL, GUILLERMO RUBEN",2/16/2023,18:00,22:00,Paseo Colon
ENERGIA,7921,RECUPERACIÓN SECUNDARIA Y ASISTIDA DE PETRÓLEO,"MARTINO, LUIS ANGEL",2/16/2023,18:00,21:00,Ing Quimica
ELECTRONICA,8631,SERVICIOS Y REDES DE COMUNICACIONES,"VENTURINO, GABRIEL FRANCISCO",2/16/2023,18:00,21:00,Paseo Colon
ENERGIA,8512,SISTEMAS ELÉCTRICOS DE POTENCIA,"GILL ESTEVEZ, PABLO DANIEL",2/16/2023,18:00,20:00,Paseo Colon
COMPUTACION,7561,TALLER DE PROGRAMACION III,"CAMEJO, MANUEL",2/16/2023,18:00,21:00,Paseo Colon
MECANICA,6720,TURBOMAQUINAS,"GONZALEZ, ERNESTO FABIAN",2/16/2023,18:00,21:00,Paseo Colon
GESTION,9103,ESTADÍSTICA APLICADA I,"BURSKY, JORGE CESAR CARLOS - GIL, JAVIER LUIS",2/16/2023,18:30,NULL,
GESTION,9130,ESTADÍSTICA APLICADA II,"BONOLI ESCOBAR, MARIANO FELIPE",2/16/2023,18:30,NULL,
GESTION,7103,ESTADISTICA TECNICA,"BURSKY, JORGE CESAR CARLOS - GIL, JAVIER LUIS",2/16/2023,18:30,NULL,
HIDRAULICA,8905,HIDROLOGÍA,"URIBURU QUIRNO, MARCELO",2/16/2023,18:30,NULL,
COMPUTACION,9508,TALLER DE PROGRAMACIÓN,"VEIGA, ANDRES ARTURO",2/16/2023,18:30,20:30,Paseo Colon
COMPUTACION,7542,TALLER DE PROGRAMACION I,"VEIGA, ANDRES ARTURO",2/16/2023,18:30,20:30,Paseo Colon
COMPUTACION,7507,ALGORITMOS Y PROGRAMACION III,"SANCHEZ, DIEGO",2/16/2023,19:00,22:00,Paseo Colon
COMPUTACION,9502,ALGORITMOS Y PROGRAMACIÓN III,"SANCHEZ, DIEGO",2/16/2023,19:00,22:00,Paseo Colon
ELECTRONICA,8667,COMUNICACIONES RADIOLELECTRICAS Y RADIOENLACES,"BONELLI, FERNANDO OSCAR",2/16/2023,19:00,22:00,Paseo Colon
MECANICA,6742,CONTROL NUMERICO DE MAQUINAS HERRAMIENTA,"COSTA, EDUARDO ROBERTO",2/16/2023,19:00,21:00,Paseo Colon
COMPUTACION,9568,DESARROLLO CON NUEVAS TECNOLOGÍAS,"COSSO, PABLO GUSTAVO",2/16/2023,19:00,22:00,Paseo Colon
MECANICA,6740,DISEÑO DE MAQUINAS HERRAMIENTA,"COSTA, EDUARDO ROBERTO",2/16/2023,19:00,21:00,Paseo Colon
GESTION,7155,ECONOMIA DE LA EMPRESA ALIMENTARIA,"DI FIORE, ALEJANDRO JAVIER",2/16/2023,19:00,NULL,
GESTION,9141,ECONOMÍA DE LAS ORGANIZACIONES,"DI FIORE, ALEJANDRO JAVIER",2/16/2023,19:00,NULL,
ENERGIA,8525,ESTACIONES TRANSFORMADORAS Y DE DISTRIBUCIÓN,"SECCHI, MARINO GASTON",2/16/2023,19:00,21:00,Paseo Colon
GESTION,7146,INGENIERIA ECONOMICA,"DI FIORE, ALEJANDRO JAVIER",2/16/2023,19:00,NULL,
ELECTRONICA,8602,INTRODUCCIÓN A LA INGENIERÍA ELECTRÓNICA,"VEIGA, RICARDO ALFREDO",2/16/2023,19:00,22:00,Paseo Colon
GESTION,9132,INVESTIGACIÓN OPERATIVA III,"CIMINARI SMITH, LUCIANO MATIAS",2/16/2023,19:00,NULL,
GESTION,7132,INVESTIGACION OPERATIVA SUPERIOR,"CIMINARI SMITH, LUCIANO MATIAS",2/16/2023,19:00,NULL,
GESTION,9133,MICROECONOMÍA APLICADA,"BOTTA, JORGE BENJAMIN",2/16/2023,19:00,NULL,
ELECTRONICA,8646,MICROELECTRÓNICA,"GARCIA INZA, MARIANO ANDRES",2/16/2023,19:00,22:00,Paseo Colon
COMPUTACION,7506,ORGANIZACION DE DATOS,"RODRIGUEZ, JUAN MANUEL",2/16/2023,19:00,22:00,Paseo Colon
COMPUTACION,9558,ORGANIZACIÓN DE DATOS,"RODRIGUEZ, JUAN MANUEL",2/16/2023,19:00,22:00,Paseo Colon
ENERGIA,7918,PROPIEDADES DE LA ROCA Y LOS FLUÍDOS DE RESERVORIOS,"MANESTAR, GASTÓN JOSÉ",2/16/2023,19:00,21:00,Ing Quimica
COMPUTACION,7571,SEMINARIO DE ING. EN INFORMATICA I,"COSSO, PABLO GUSTAVO",2/16/2023,19:00,22:00,Paseo Colon
COMPUTACION,7572,SEMINARIO DE ING. EN INFORMATICA II,"COSSO, PABLO GUSTAVO",2/16/2023,19:00,22:00,Paseo Colon
ELECTRONICA,8665,SISTEMAS EMBEBIDOS,"CRUZ, JUAN MANUEL",2/16/2023,19:00,21:00,Paseo Colon
ING QUIMICA,7699,TRABAJO PROFESIONAL DE ING. QUÍMICA,"ROLLHAISER, MARCELO OSCAR",2/16/2023,19:00,22:00,Ing Quimica
ING QUIMICA,7659,TRABAJO PROFESIONAL DE ING. QUIMICA I,"ROLLHAISER, MARCELO OSCAR",2/16/2023,19:00,22:00,Ing Quimica
ING QUIMICA,7662,TRABAJO PROFESIONAL DE ING. QUIMICA II,"ROLLHAISER, MARCELO OSCAR",2/16/2023,19:00,NULL,Ing Quimica
NAVAL,7301,ARQUITECTURA NAVAL I,"FERRINI, ADRIAN",2/17/2023,8:00,12:00,Paseo Colon
MATEMATICA,6110,ANALISIS MATEMATICO III A,"CACHILE, MARIO ANDRES - GRYNBERG, SEBASTIAN PABLO - GONZALEZ, GRACIELA ADRIANA",2/17/2023,9:00,12:00,Paseo Colon
MATEMATICA,8105,ANÁLISIS MATEMÁTICO III A,"CACHILE, MARIO ANDRES - GRYNBERG, SEBASTIAN PABLO - GONZALEZ, GRACIELA ADRIANA",2/17/2023,9:00,12:00,Paseo Colon
MATEMATICA,8106,ANÁLISIS MATEMÁTICO III B,"GONZALEZ, GRACIELA ADRIANA - GRYNBERG, SEBASTIAN PABLO - CACHILE, MARIO ANDRES",2/17/2023,9:00,12:00,Paseo Colon
MATEMATICA,6113,ANALISIS MATEMATICO III C,"MURMIS, EDUARDO GABRIEL - GRYNBERG, SEBASTIAN PABLO",2/17/2023,9:00,12:00,Paseo Colon
FISICA,8202,FÍSICA II,"PEREZ, LILIANA INES",2/17/2023,9:00,12:00,Paseo Colon
FISICA,6203,FISICA II A,"PEREZ, LILIANA INES",2/17/2023,9:00,12:00,Paseo Colon
FISICA,6204,FISICA II B,"PEREZ, LILIANA INES",2/17/2023,9:00,12:00,Paseo Colon
MATEMATICA,6114,MATEMATICA ESPECIAL PARA ING. QUIMICA,"GRYNBERG, SEBASTIAN PABLO - GONZALEZ, GRACIELA ADRIANA - CACHILE, MARIO ANDRES",2/17/2023,9:00,12:00,Paseo Colon
MATEMATICA,6116,MATEMATICA PARA INGENIEROS,"GRYNBERG, SEBASTIAN PABLO - GONZALEZ, GRACIELA ADRIANA - CACHILE, MARIO ANDRES",2/17/2023,9:00,12:00,Paseo Colon
ELECTRONICA,8670,INTRODUCCION AL DISEÑO ASISTIDO POR COMPUTADORA,"PEDERSEN, EDUARDO CRISTIAN",2/17/2023,12:00,15:00,Paseo Colon
ELECTRONICA,8606,CIRCUITOS ELECTRÓNICOS,"ZOLA, JULIO GUILLERMO",2/17/2023,13:00,16:00,Paseo Colon
COMPUTACION,9511,ALGORITMOS Y PROGRAMACIÓN I,"SANTISI, SEBASTIAN",2/17/2023,15:00,18:00,Paseo Colon
GESTION,9144,HERRAMIENTAS DE GESTIÓN PROFESIONAL,"CONDE, MARIA EUGENIA",2/17/2023,15:00,NULL,
ELECTRONICA,6609,LABORATORIO DE MICROCOMPUTADORAS,"CAMPIGLIO, GUILLERMO CARLOS",2/17/2023,15:00,18:00,Paseo Colon
ELECTRONICA,8607,LABORATORIO DE MICROPROCESADORES,"CAMPIGLIO, GUILLERMO CARLOS",2/17/2023,15:00,18:00,Paseo Colon
MECANICA,6719,MAQUINAS ALTERNATIVAS,"ZAMBRANO, DANIEL ALBERTO - ERRAZQUIN, JORGE",2/17/2023,15:00,18:00,Paseo Colon
MECANICA,6751,MAQUINAS TERMICAS,"ZAMBRANO, DANIEL ALBERTO - ERRAZQUIN, JORGE",2/17/2023,15:00,18:00,Paseo Colon
MECANICA,8717,MÁQUINAS TÉRMICAS,"ERRAZQUIN, JORGE - ZAMBRANO, DANIEL ALBERTO",2/17/2023,15:00,18:00,Paseo Colon
FISICA,6206,MECANICA I,"SORICHETTI, PATRICIO ANIBAL",2/17/2023,15:00,18:00,Paseo Colon
NAVAL,7314,NAVEGACION,"ORLIACQ, ERNESTO EDUARDO",2/17/2023,15:00,17:00,Paseo Colon
MECANICA,6724,PROYECTO DE INSTALACIONES INDUSTRIALES,"ERRAZQUIN, JORGE",2/17/2023,15:00,18:00,Paseo Colon
ELECTRONICA,8657,ACÚSTICA,"VECHIATTI, NILDA SUSANA",2/17/2023,16:00,19:00,Paseo Colon
NAVAL,7303,ARQUITECTURA NAVAL II,"CASTRO HEBRERO, FEDERICO NICOLÁS",2/17/2023,16:00,19:00,Paseo Colon
TRANSPORTE,6801,CONSTRUCCIÓN DE CARRETERAS,"CAMPANA, JUAN MANUEL - SCHVARTZER, FABIAN ALEJANDRO",2/17/2023,16:00,19:00,
TRANSPORTE,8801,CONSTRUCCIÓN DE CARRETERAS,"CAMPANA, JUAN MANUEL - SCHVARTZER, FABIAN ALEJANDRO",2/17/2023,16:00,19:00,
ING QUIMICA,7647,FENÓMENOS DE TRANSPORTE,"AGALIOTIS, ELIANA MABEL",2/17/2023,17:00,22:00,Ing Quimica
ESTABILIDAD,8407,MECÁNICA DE SUELOS Y GEOLOGÍA,"STRINA, ERNESTO DIEGO - CODEVILLA, MAURO",2/17/2023,17:00,20:00,
ING QUIMICA,7603,OPERACIONES I,"AGALIOTIS, ELIANA MABEL",2/17/2023,17:00,22:00,Ing Quimica
GESTION,7131,ORGANIZACION DE LA PRODUCCION,"CONDE, MARIA EUGENIA",2/17/2023,17:00,NULL,
GESTION,9113,ORGANIZACIÓN DE LA PRODUCCIÓN,"CONDE, MARIA EUGENIA",2/17/2023,17:00,NULL,
GESTION,7106,ESTRUCTURA ECONOMICA ARGENTINA,"SURACE, PABLO ESTEBAN",2/17/2023,18:00,NULL,
GESTION,9139,ESTRUCTURAS Y PROCESOS ORGANIZACIONALES,"GALLI, ADRIANA SILVIA",2/17/2023,18:00,NULL,
TEC INDUSTRIAL,9220,INDUSTRIA AUTOMOTRIZ,"SABELLI, ALFREDO JORGE - CONTI, AGUSTIN ALEJANDRO",2/17/2023,18:00,21:00,
COMPUTACION,7543,INTRODUCCION A LOS SISTEMAS DISTRIBUIDOS,"ALVAREZ HAMELIN, JOSE IGNACIO",2/17/2023,18:00,22:00,Paseo Colon
GESTION,9124,MACROECONOMÍA Y ESTRUCTURA ECONÓMICA ARGENTINA,"SURACE, PABLO ESTEBAN",2/17/2023,18:00,NULL,
