DEPTO,CÓDIGO,MATERIA,DOCENTES,FECHA,HORA INICIO,HORA FIN,SEDE
TRANSPORTE,8806,PLANEAMIENTO DEL TRANSPORTE,"KRANTZER, HECTOR GUILLERMO - BELENKY, LUIS PABLO",2/6/2023,18:00,21:00,Las Heras
ENERGIA,7912,PRODUCCIÓN DE PETRÓLEO,"GONZALEZ FERRER, JUAN MANUEL",2/6/2023,18:00,21:00,Ing Quimica
MECANICA,6748,TRATAMIENTOS TERMICOS,"FIRPO, ROLANDO ADRIAN",2/6/2023,18:00,21:00,Paseo Colon
COMPUTACION,7539,APLICACIONES INFORMATICAS,"IERACHE, JORGE SALVADOR",2/6/2023,18:30,21:30,Paseo Colon
GESTION,9103,ESTADÍSTICA APLICADA I,"BURSKY, JORGE CESAR CARLOS - GIL, JAVIER LUIS",2/6/2023,18:30,21:30,Las Heras
GESTION,9130,ESTADÍSTICA APLICADA II,"BONOLI ESCOBAR, MARIANO FELIPE",2/6/2023,18:30,21:30,Las Heras
GESTION,7103,ESTADISTICA TECNICA,"BURSKY, JORGE CESAR CARLOS - GIL, JAVIER LUIS",2/6/2023,18:30,21:30,Las Heras
COMPUTACION,7550,INTRODUCCION A LOS SISTEMAS INTELIGENTES,"OCHOA, MARIA ALEJANDRA",2/6/2023,18:30,21:30,Paseo Colon
COMPUTACION,7565,MANUFACTURA INTEGRADA POR COMP.(CIM) I,"IERACHE, JORGE SALVADOR",2/6/2023,18:30,21:30,Paseo Colon
COMPUTACION,7566,MANUFACTURA INTEGRADA POR COMP.(CIM) II,"IERACHE, JORGE SALVADOR",2/6/2023,18:30,21:30,Paseo Colon
ENERGIA,8518,ACCIONAMIENTOS ELÉCTRICOS,"PETRONI, OSVALDO DARIO",2/6/2023,19:00,21:00,Paseo Colon
COMPUTACION,7512,ANALISIS NUMERICO I,"GRIGGIO, DANIEL ADALBERTO",2/6/2023,19:00,22:00,Paseo Colon
COMPUTACION,9504,ANÁLISIS NUMÉRICO I,"GRIGGIO, DANIEL ADALBERTO",2/6/2023,19:00,22:00,Paseo Colon
ENERGIA,8504,CAMPOS ELECTROMAGNÉTICOS,"SALVO, GERMAN",2/6/2023,19:00,21:00,Paseo Colon
ENERGIA,8513,CENTRALES ELÉCTRICAS,"GUZMAN, BENJAMIN ROBERTO",2/6/2023,19:00,21:00,Paseo Colon
TRANSPORTE,6804,FERROCARRILES,"ROSUJOVSKY, ALBERTO JORGE - CASTRO DURAN, MARIANO GAB - SEGARRA PRADES, MERITXELL - TORIGGIA, MAXIMILIANO GABRIEL",2/6/2023,19:00,22:00,Las Heras
TRANSPORTE,8812,FERROCARRILES A,"ROSUJOVSKY, ALBERTO JORGE - CASTRO DURAN, MARIANO GAB - SEGARRA PRADES, MERITXELL - TORIGGIA, MAXIMILIANO GABRIEL",2/6/2023,19:00,22:00,Las Heras
TRANSPORTE,8804,FERROCARRILES B,"ROSUJOVSKY, ALBERTO JORGE - CASTRO DURAN, MARIANO GAB - SEGARRA PRADES, MERITXELL - TORIGGIA, MAXIMILIANO GABRIEL",2/6/2023,19:00,22:00,Las Heras
GESTION,9128,GESTIÓN DE COSTOS,"ZANCHETTI, BEATRIZ SUSANA",2/6/2023,19:00,21:00,Las Heras
ENERGIA,8511,INSTALACIONES DE BAJA TENSIÓN Y LUMINOTECNIA,"PETRONI, OSVALDO DARIO",2/6/2023,19:00,21:00,Paseo Colon
CONSTRUCCIONES,9407,MAQUINARIAS DE LA CONSTRUCCIÓN,NULL,2/6/2023,19:00,22:00,Las Heras
COMPUTACION,9513,MÉTODOS MATEMÁTICOS Y NUMÉRICOS,"GRIGGIO, DANIEL ADALBERTO",2/6/2023,19:00,22:00,Paseo Colon
COMPUTACION,9513,MÉTODOS MATEMÁTICOS Y NUMÉRICOS,"GRIGGIO, DANIEL ADALBERTO",2/6/2023,19:00,22:00,Paseo Colon
TEC INDUSTRIAL,9214,SEMINARIO DE INGENIERIA INDUSTRIAL I,"SABELLI, ALFREDO JORGE",2/6/2023,19:00,23:00,Las Heras
TEC INDUSTRIAL,9221,SEMINARIO DE INGENIERÍA INDUSTRIAL III,"SABELLI, ALFREDO JORGE",2/6/2023,19:00,23:00,Las Heras
TEC INDUSTRIAL,9226,SEMINARIO DE INGENIERIA INDUSTRIAL IV,"SABELLI, ALFREDO JORGE",2/6/2023,19:00,23:00,Las Heras
COMPUTACION,7526,SIMULACION,"CAIAFA, CESAR FEDERICO - BENITEZ, CARLOS MARCELO",2/6/2023,19:00,22:00,Paseo Colon
COMPUTACION,9519,SIMULACIÓN,"BENITEZ, CARLOS MARCELO - CAIAFA, CESAR FEDERICO",2/6/2023,19:00,22:00,Paseo Colon
COMPUTACION,7524,TEORIA DE LA PROGRAMACION,"FERRIGNO, LEANDRO SEBASTIÁN",2/6/2023,19:00,22:00,Paseo Colon
COMPUTACION,7531,TEORIA DE LENGUAJE,"FERRIGNO, LEANDRO SEBASTIÁN",2/6/2023,19:00,22:00,Paseo Colon
COMPUTACION,9507,TEORÍA DE LENGUAJE DE PROGRAMACIÓN,"FERRIGNO, LEANDRO SEBASTIÁN",2/6/2023,19:00,22:00,Paseo Colon
ING QUIMICA,7665,TERMODINÁMICA APLICADA A LOS PROCESOS PETROLEROS,"REBOREDO, LUCAS GABRIEL",2/6/2023,19:00,22:00,Ing Quimica
ELECTRONICA,6669,CRIPTOGRAFIA Y SEGURIDAD INFORMATICA,"PAGOLA, HUGO ALBERTO",2/6/2023,19:30,22:30,Paseo Colon
ELECTRONICA,8636,CRIPTOGRAFÍA Y SEGURIDAD INFORMÁTICA,"PAGOLA, HUGO ALBERTO",2/6/2023,19:30,22:30,Paseo Colon
NAVAL,7309,PROYECTO DE BUQUES I,CALAM,2/6/2023,17:00,19:00,Paseo Colon
NAVAL,7310,PROYECTO DE BUQUES II,CALAM,2/6/2023,17:00,19:00,Paseo Colon
NAVAL,7316,CONSTRUCCION NAVAL III,,2/6/2023,17:00,19:00,Paseo Colon
GESTION,7137,DIRECCION DE MANUFACTURA,"KOLL, MARCELO HORACIO",2/6/2023,19:00,21:00,Las Heras
GESTION,9126,DIRECCIÓN DE MANUFACTURA,"KOLL, MARCELO HORACIO",2/6/2023,19:00,21:00,Las Heras
CONSTRUCCIONES,9405,INSTALACIONES EN OBRAS CIVILES I,"DI MARCO, MARTÍN - ALAGIA, JUAN PABLO",2/7/2023,19:00,22:00,Las Heras
ESTABILIDAD,8403,ESTABILIDAD II,"ALONSO, MARIO EDUARDO",2/7/2023,9:00,12:00,Las Heras
ELECTRONICA,8603,DISPOSITIVOS SEMICONDUCTORES,"CARBONETTO, SEBASTIÁN HORACIO",2/7/2023,14:00,17:00,Paseo Colon
FISICA,6218,FÍSICA DE FLUIDOS,"IPPOLITO, IRENE PAULA",2/7/2023,14:00,17:00,Paseo Colon
ELECTRONICA,6606,ANALISIS DE CIRCUITOS,"ZACCHIGNA, FEDERICO GIORDANO",2/7/2023,15:00,18:00,Paseo Colon
ELECTRONICA,8604,ANÁLISIS DE CIRCUITOS,"ZACCHIGNA, FEDERICO GIORDANO",2/7/2023,15:00,18:00,Paseo Colon
ING QUIMICA,7648,EVALUACIÓN DE PROPIEDADES FÍSICAS,"KINGSTON, DIEGO",2/28/2023,15:00,20:00,Ing Quimica
HIDRAULICA,8913,HIDRÁULICA FLUVIAL,"PATERSON, INÉS AGNES",2/7/2023,15:00,20:00,Las Heras
HIDRAULICA,8904,MODELOS HIDRÁULICOS,"PATERSON, INÉS AGNES",2/7/2023,15:00,20:00,Las Heras
COMPUTACION,7512,ANALISIS NUMERICO I,"MENENDEZ, ANGEL NICOLAS",2/7/2023,16:00,19:00,Paseo Colon
COMPUTACION,9504,ANÁLISIS NUMÉRICO I,"MENENDEZ, ANGEL NICOLAS",2/7/2023,16:00,19:00,Paseo Colon
COMPUTACION,7538,ANALISIS NUMERICO II A,"MENENDEZ, ANGEL NICOLAS",2/7/2023,16:00,19:00,Paseo Colon
MECANICA,6757,ELEM. FINITOS AVANZ. EN MECANICA DE FLUIDOS,"GOLDSCHMIT, MARCELA BEATRIZ",2/7/2023,16:00,19:00,Paseo Colon
MECANICA,6762,ELEMENTOS FINITOS AVANZADOS,"TOSCANO, RITA GENOVEVA",2/7/2023,16:00,19:00,Paseo Colon
ESTABILIDAD,8402,ESTABILIDAD I,"TOSCANO, RITA GENOVEVA - CARNICER, ROBERTO SERGIO",2/7/2023,16:00,20:00,Las Heras
ESTABILIDAD,6411,ESTABILIDAD I B,"CARNICER, ROBERTO SERGIO - TOSCANO, RITA GENOVEVA",2/7/2023,16:00,19:00,Las Heras
ELECTRONICA,6670,ESTRUCTURA DEL COMPUTADOR,"MAZZEO, JORGE RAUL",2/7/2023,16:00,19:00,Paseo Colon
MECANICA,6760,INTRODUCCIÓN AL ANÁLISIS TENSORIAL,"GOLDSCHMIT, MARCELA BEATRIZ",2/7/2023,16:00,19:00,Paseo Colon
